rr:tableName,uri,dcterms:source,skos:prefLabel,skos:definition
occurrence,http://rs.gbif.org/data-packages/dwc-dp/occurrence,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence.json,Occurrence,The state of a dwc:Organism at some location during some time.
organism-interaction-agent-role,http://rs.gbif.org/data-packages/dwc-dp/organism-interaction-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-agent-role.json,OrganismInteractionAgentRole,A role filled by an Agent with respect to an OrgansmInteraction.
organism-interaction-assertion,http://rs.gbif.org/data-packages/dwc-dp/organism-interaction-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-assertion.json,OrganismInteractionAssertion,An Assertion made by an Agent about an OrganismInteraction.
organism-interaction-citation,http://rs.gbif.org/data-packages/dwc-dp/organism-interaction-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-citation.json,OrganismInteractionCitation,A citation of an OrganismInteraction in a bibliographic reference.
organism-interaction-media,http://rs.gbif.org/data-packages/dwc-dp/organism-interaction-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-media.json,OrganismInteractionMedia,A link establishing an OrganismInteraction as content in a Media entity.
organism-interaction,http://rs.gbif.org/data-packages/dwc-dp/organism-interaction,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction.json,OrganismInteraction,An interaction between two dwc:Organisms during a dwc:Event.
phylogenetic-tree-assertion,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-assertion.json,PhylogeneticTreeAssertion,An Assertion made by an Agent about a PhylogeneticTree.
phylogenetic-tree-citation,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-citation.json,PhylogeneticTreeCitation,A citation of a PhylogeneticTree in a bibliographic reference.
phylogenetic-tree-identifier,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-identifier.json,PhylogeneticTreeIdentifier,An identifier for a PhylogeneticTree.
phylogenetic-tree-media,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-media.json,PhylogeneticTreeMedia,A link establishing a PhylogeneticTree as content in a Media entity.
phylogenetic-tree-protocol,http://rs.gbif.org/data-packages/dwc-dp/phylogenetic-tree-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-protocol.json,PhylogeneticTreeProtocol,A link establishing a Protocol used in the determination of a PhylogeneticTree.
